PING_CT,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION,sum
14370,360,Commonwealth Avenue Outbound,City of Boston,,1,Allston-Brighton,5.52780408, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,BPWD,0,0,240795.4214,35569.11925,NA,PARK_Maintenance_Ground Maintenance,14370
13783,960,Charles River Reservation,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Multi-District,171.69, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,"Charles River Esplanade, Herter Park, Daley Field",DCR,0,0,7478778.374,165863.6426,NA,INFO_Reallocation From Dept,13783
10933,387,Strandway/Castle Island,Commonwealth of Massachusetts,A97,2,South Boston,47.69946623, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,Fort Independence; Pleasure Ba,,0,0,2077825.688,24033.19499,NA,INFO_Reallocation From Dept,10933
6631,694,Back Bay Fens,City of Boston,A97/NRHP/WPA,3,Fenway/Kenmore,70.1,"Bounded by Beacon St, Park Drive, The Fenway, Evans Way, Forsyth Way, Westland Ave",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Includes Evans Way Park, Forsyth Park, Westland Avenue Gates",,0,0,3053367.002,22839.98043,NA,PARK_Maintenance_Region 3,6631
8116,107,Fenway Park Field,Private, ,3,Fenway/Kenmore,2.78, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Baseball Field at Fenway Park,,0,0,121268.3384,1376.70645,NA,INFO_Reallocation From Dept,8116
6112,979,Southwest Corridor Park,MBTA, ,2,Multi-District,47.68, ,Industrial District,"Parkways, Reservations & Beaches",NULL,DCR,X,X, , ,0,0,2076803.929,53060.37561,NA,INFO_Reallocation From Dept,6112
6298,899,Long Wharf,BRA,LWCF/Ch91/WPA,1,Central Boston,3.9,206-214 Atlantic Avenue (Harbor End of Wharf),Special District,"Malls, Squares & Plazas",National Park Service,BRA,X,X,Long Wharf Plaza,BRA,0,0,169926.322,4163.023514,NA,INFO_Reallocation From Dept,6298
5328,941,Charlesgate,Commonwealth of Massachusetts,A97,2,Back Bay/Beacon Hill,6.52,"Btwn Storrow Dr, Mass Pike, Charlesgate East & Charlesgate West",Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Charlesgate (contains Bowker Overpass),,0,0,287205.354,9307.360807,NA,INFO_Reallocation From Dept,5328
18947,custom,RFK Greenway,,,,,,,,,,,,,,,,,,,,,
22519,custom,Boston Common & Public Garden,,,,,,,,,,,,,,,,,,,,,
